CCTV-1综合,rtp://239.93.0.184:5140
CCTV-2财经,http://10.10.10.10:50229/udp/239.93.1.23:6000
CCTV-3综艺,rtp://239.93.1.11:2223
CCTV-4中文国际,rtp://239.93.1.105:5140
CCTV-5体育,rtp://239.93.1.12:2224
CCTV-5+体育赛事,rtp://239.93.1.36:8004
CCTV-6电影,rtp://239.93.1.13:2226
CCTV-7国防军事,rtp://239.93.1.67:5140
CCTV-8电视剧,rtp://239.93.1.14:2225
CCTV-9纪录,rtp://239.93.1.24:5140
CCTV-10科教,rtp://239.93.1.28:5140
CCTV-11戏曲,rtp://239.93.0.102:5140
CCTV-12社会与法,rtp://239.93.1.30:8124
CCTV-13新闻,rtp://239.93.0.99:5140
CCTV-14少儿,rtp://239.93.1.29:6000
CCTV-15音乐,rtp://239.93.0.103:5140
CCTV-17农村农业,rtp://239.93.0.92:5140
CGTN,rtp://239.93.0.62:5140
爱温江,rtp://239.93.1.104:1234
湖南卫视高清,rtp://239.93.0.88:5140
浙江卫视高清,rtp://239.93.0.124:5140
江苏卫视高清,rtp://239.93.0.89:5140
东方卫视高清,rtp://239.93.0.123:5140
北京卫视高清,rtp://239.93.0.180:5140
深圳卫视高清,rtp://239.93.0.182:5140
四川卫视高清,rtp://239.93.0.169:5140
天津卫视高清,rtp://239.93.0.167:5140
湖北卫视高清,rtp://239.93.0.250:5140
广东卫视高清,rtp://239.93.0.181:5140
山东卫视高清,rtp://239.93.0.168:5140
黑龙江卫视高清,rtp://239.93.0.183:5140
重庆卫视高清,rtp://239.93.1.107:5140
东南卫视高清,rtp://239.93.0.42:5140
江西卫视高清,rtp://239.93.0.134:5140
贵州卫视高清,rtp://239.93.0.131:5140
河北卫视高清,rtp://239.93.0.132:5140
安徽卫视高清,rtp://239.93.1.106:5140
辽宁卫视高清,rtp://239.93.1.108:5140
河南卫视高清,rtp://239.93.42.45:5140
广西卫视高清,rtp://239.93.42.46:5140
SCTV2 四川文化旅游高清,rtp://239.93.1.101:5140
SCTV3 四川经济高清,rtp://239.93.1.102:5140
